Reaction_ID,RAS
CLPNDCPT1,16
CLPNDCPT2,13.3333
CLPNDCRNt,3
CLPNDt,NaN
CLS_hs,6
CMPACNAtg,3
CMPACNAtn,NaN
CMPSAS,37.6667
CMPSASn,37.6667
CO2ter,NaN
CO2tg,NaN
CO2tm,NaN
CO2tp,NaN
COAtg,NaN
COAtl,NaN
COAtm,43
COAtn,NaN
COAtp,NaN
COAtr,NaN
COKECBESr,34.3333
COQ3m,6.6667
COQ5m,NaN
COQ6m,32.6666
COQ7m,19.3333
CORE2GTg,43.3334
CORE3GTg,0
CORE4GTg,1.6667
CORE5GTg,NaN
CORE6GTg,40.6667
CORE7GTg,NaN
CORE8GTg,NaN
COt,NaN
COUCOAFm,NaN
COUMARINte,NaN
CREATt4_2_r,116
CREATtmdiffir,NaN
CRMPte,NaN
CRNCAR3tp,NaN
CRNCARtp,8
CRNt,29.6667
CRNtHa,10.6667
CRNtim,3
CRNtuNa,29.6667
CRNtx,NaN
CRTNsyn,NaN
CRTSLt,NaN
CRTSLtm,NaN
CRTSLtr,NaN
CRTSTRNt,NaN
CRTSTRNtm,NaN
CRVNCtr,NaN
CSAPASEly,NaN
CSBPASEly,NaN
CSCPASEly,NaN
CSDPASEly,NaN
CSEPASEly,NaN
CSm,692
CSNAT2m,8
CSNAT2x,25.3333
CSNAT3x,17.3333
CSNATer,8
CSNATm,8
CSNATp,17.3333
CSNATr,8
CSNt,25.3333
CSPG_At,NaN
CSPG_Atly,NaN
CSPG_Bt,NaN
CSPG_Btly,NaN
CSPG_Ct,NaN
CSPG_Ctly,NaN
CSPG_Dt,NaN
CSPG_Dtly,NaN
CSPG_Et,NaN
CSPG_Etly,NaN
CTPtn,NaN
CYANt,NaN
CYANtm,NaN
CYSALANaEx,327.3333
CYSASNNaEx,219
CYSGLNNaEx,219
CYSGLTH,NaN
CYSGLUexR,6.6666
CYSGLYexR,9.9999
CYSO,3
CYSSERNaEx,327.3333
CYSt4,67.6667
CYSTA,98.3333
CYStec,17
CYSTGLUex,3.3333
CYSTHRNaEx,327.3333
CYSTSERex,0
CYTD,11.6667
CYTDK1,103.6667
CYTDK2m,NaN
CYTDn,0
CYTDt,106.3333
CYTDt4,1.3333
CYTDtl,10.3333
CYTDtm,81
CYTDtn,NaN
CYTK10,117.3333
CYTK10n,117.3333
CYTK11,117.3333
CYTK11n,117.3333
CYTK12,117.3333
CYTK12n,117.3333
CYTK13,117.3333
CYTK13n,117.3333
CYTK14,117.3333
CYTK14n,117.3333
